PRN,Timestamp,X_km,Y_km,Z_km
PG08,2026-04-01 01:00:0.00000000,-10936.037891,12213.932221,20615.610764
PG09,2026-04-01 01:00:0.00000000,5989.001696,25131.139502,-6091.701335
PG10,2026-04-01 01:00:0.00000000,-21462.464081,-11204.376062,11568.850312
PG11,2026-04-01 01:00:0.00000000,20517.477697,-7695.095415,-14903.749605
PG12,2026-04-01 01:00:0.00000000,13149.467315,-11585.297288,-20249.582993
PG13,2026-04-01 01:00:0.00000000,14175.738833,-4152.756306,21795.671129
PG14,2026-04-01 01:00:0.00000000,19132.565946,13054.842578,13355.192652
PG15,2026-04-01 01:00:0.00000000,8532.9499,-14231.705263,20185.144872
PG16,2026-04-01 01:00:0.00000000,-25425.294814,-403.513799,8004.706743
PG17,2026-04-01 01:00:0.00000000,12933.557922,21450.132997,-8048.982457
PG18,2026-04-01 01:00:0.00000000,-606.164247,-18977.762595,18506.763184
PG19,2026-04-01 01:00:0.00000000,15792.870717,14449.829034,-16127.385621
PG20,2026-04-01 01:00:0.00000000,13724.160648,-6724.393077,21791.568129
PG21,2026-04-01 01:00:0.00000000,26153.859148,1332.428292,4568.163289
PG22,2026-04-01 01:00:0.00000000,22342.956889,11554.200192,8332.757149
PG23,2026-04-01 01:00:0.00000000,-9918.478426,-14610.51691,20002.905703
PG24,2026-04-01 01:00:0.00000000,14641.935355,-21874.97215,845.303976
PG25,2026-04-01 01:00:0.00000000,-1570.70294,-15878.909647,-21643.972597
PG26,2026-04-01 01:00:0.00000000,-26156.187198,-4359.480925,-3978.13614
PG27,2026-04-01 01:00:0.00000000,-15912.504604,512.630538,20955.286446
PG28,2026-04-01 01:00:0.00000000,-14601.936959,-5532.178017,-21482.258336
PG29,2026-04-01 01:00:0.00000000,-2663.08529,-25401.37371,-7037.055318
PG30,2026-04-01 01:00:0.00000000,9931.225635,12705.30234,21279.1316
PG31,2026-04-01 01:00:0.00000000,-19721.87327,3874.604457,-17798.808608
PG32,2026-04-01 01:00:0.00000000,-15638.393715,-18253.369972,-11224.303707
PG01,2026-04-01 01:15:0.00000000,-14819.780694,21750.166511,-3237.712564
PG02,2026-04-01 01:15:0.00000000,-17584.613368,17243.082348,9540.945021
