prediction_horizon_hours,inclination_deg,eccentricity,mean_motion_rev_day,bstar,mean_motion_derivative,NORAD_CAT_ID,reliability_label,reliability
1.71428232,6.3058,0.00032589,1.00272331,0.0,-7.1e-07,28089,1,Reliable
23.95174968,6.306,0.00032165,1.00272375,0.0,-7.1e-07,28089,1,Reliable
23.38767624,6.3084,0.0003215,1.00272475,0.0,-7.1e-07,28089,1,Reliable
0.53428848,6.3107,0.0003228,1.0027258,0.0,-7e-07,28089,1,Reliable
22.57804368,6.3108,0.00032216,1.00272577,0.0,-7e-07,28089,1,Reliable
25.82861448,6.3132,0.00033275,1.00272711,0.0,-6.9e-07,28089,1,Reliable
20.54162664,6.3158,0.00033267,1.00272806,0.0,-6.8e-07,28089,1,Reliable
3.1156656000000003,6.3175,0.0003323,1.00272875,0.0,-6.7e-07,28089,1,Reliable
11.76777,6.318,0.00033507,1.002729,0.0,-6.7e-07,28089,1,Reliable
12.038598,6.3191,0.00033596,1.00272909,0.0,-6.6e-07,28089,1,Reliable
11.91211512,6.3202,0.0003349,1.00272945,0.0,-6.6e-07,28089,1,Reliable
10.32289008,6.3213,0.00033806,1.00272981,0.0,-6.5e-07,28089,1,Reliable
1.65792312,6.3223,0.0003391,1.00273052,0.0,-6.5e-07,28089,1,Reliable
22.632274560000003,6.3225,0.00033426,1.00273032,0.0,-6.5e-07,28089,1,Reliable
23.5675764,6.3245,0.0003387,1.00273114,0.0,-6.4e-07,28089,0,Not Reliable
0.40195776,6.3273,0.0003118,1.00272622,0.0,-6.5e-07,28089,0,Not Reliable
23.551358160000003,6.3267,0.00034109,1.00273177,0.0,-6.5e-07,28089,1,Reliable
1.01533128,6.3291,0.0003373,1.00273203,0.0,-6.6e-07,28089,0,Not Reliable
24.64955976,6.3302,0.0003244,1.00270983,0.0,-6.7e-07,28089,0,Not Reliable
22.24307976,6.3301,0.00030563,1.00270704,0.0,-7e-07,28089,0,Not Reliable
1.2240391199999998,6.3336,0.0003383,1.00271518,0.0,-7.4e-07,28089,1,Reliable
18.3563412,6.3338,0.000338,1.00271497,0.0,-7.4e-07,28089,1,Reliable
5.2102884000000005,6.3359,0.00033613,1.00271496,0.0,-7.7e-07,28089,1,Reliable
0.87385224,6.3363,0.0003329,1.00271409,0.0,-7.8e-07,28089,1,Reliable
17.84573976,6.3365,0.00033384,1.00271412,0.0,-7.8e-07,28089,1,Reliable
4.48046736,6.3383,0.0003323,1.00271337,0.0,-8.2e-07,28089,1,Reliable
1.4217144,6.3387,0.0003317,1.00271339,0.0,-8.2e-07,28089,1,Reliable
10.9449144,6.339,0.00033018,1.0027132,0.0,-8.3e-07,28089,1,Reliable
11.50463808,6.3399,0.0003294,1.00271219,0.0,-8.4e-07,28089,1,Reliable
2.03517888,6.3411,0.0003306,1.00271207,0.0,-8.6e-07,28089,1,Reliable
23.62895736,6.3413,0.00032962,1.00271199,0.0,-8.6e-07,28089,1,Reliable
23.952579120000003,6.3438,0.0003235,1.0027112,0.0,-8.8e-07,28089,1,Reliable
24.36337128,6.3463,0.0003215,1.00271104,0.0,-8.9e-07,28089,1,Reliable
9.68194872,6.3487,0.00031932,1.0027105,0.0,-8.8e-07,28089,1,Reliable
13.14479064,6.3498,0.00031702,1.00270973,0.0,-8.8e-07,28089,1,Reliable
24.684363840000003,6.3515,0.0003142,1.00270938,0.0,-8.7e-07,28089,1,Reliable
48.811206000000006,6.3538,0.00031796,1.00270906,0.0,-8.4e-07,28089,1,Reliable
22.30959336,6.3593,0.00031506,1.00270908,0.0,-7.9e-07,28089,1,Reliable
23.88694776,6.3617,0.00031673,1.00270932,0.0,-7.7e-07,28089,1,Reliable
2.71218288,6.3642,0.00031687,1.00270975,0.0,-7.6e-07,28089,1,Reliable
22.037005200000003,6.3643,0.0003162,1.00270978,0.0,-7.6e-07,28089,1,Reliable
0.83347848,6.3666,0.00031555,1.00271056,0.0,-7.6e-07,28089,1,Reliable
23.2755636,6.367,0.000314,1.00271061,0.0,-7.6e-07,28089,1,Reliable
1.65354576,6.3691,0.0003188,1.00271199,0.0,-7.5e-07,28089,1,Reliable
23.8314552,6.3695,0.000319,1.00271223,0.0,-7.5e-07,28089,1,Reliable
21.30308832,6.372,0.0003211,1.00271334,0.0,-7.5e-07,28089,1,Reliable
25.33418544,6.3742,0.0003255,1.00271431,0.0,-7.5e-07,28089,1,Reliable
1.69006104,6.3767,0.00032189,1.00271538,0.0,-7.5e-07,28089,1,Reliable
