ID,Name,Type,TLE Line 1,TLE Line 2,Epoch
35236,FENGYUN 1C DEB,Debris,1 35236U 99025DQU 26235.08498288  .00001089  00000+0  30337-3 0  9995,2 35236  98.8218 177.2763 0084461 150.9928 209.5995 14.46447015 12229,2026-08-23 02:02:22 UTC
30740,FENGYUN 1C DEB,Debris,1 30740U 99025ATA 26247.29592603  .00003731  00000+0  84318-3 0  9996,2 30740  98.6964   7.7333 0028662  48.0592 312.3041 14.56620835 15003,2026-09-04 07:06:08 UTC
30671,FENGYUN 1C DEB,Debris,1 30671U 99025AQD 26248.67420095  .00000794  00000+0  56968-3 0  9993,2 30671  99.2332 319.2822 0125412  26.4358 130.0372 13.96330644989198,2026-09-05 16:10:50 UTC
37562,IRIDIUM 33 DEB,Debris,1 37562U 97051XX  26248.88208542  .00001682  00000+0  35466-3 0  9997,2 37562  86.3708 286.8804 0020834 282.5915 199.1528 14.58772791902201,2026-09-05 21:10:12 UTC
30867,FENGYUN 1C DEB,Debris,1 30867U 99025AXD 26248.96109742  .00001646  00000+0  64197-3 0  9995,2 30867  97.8634 135.1113 0049135 277.6255 210.4081 14.30197435  3550,2026-09-05 23:03:58 UTC
29968,FENGYUN 1C DEB,Debris,1 29968U 99025KS  26248.73446706  .00000160  00000+0  11716-3 0  9993,2 29968  98.8260 237.0108 0089329 323.7691 212.1589 14.07412144  8017,2026-09-05 17:37:37 UTC
30361,FENGYUN 1C DEB,Debris,1 30361U 99025ABY 26248.02638336  .00000902  00000+0  38511-3 0  9992,2 30361  98.5477 282.7075 0063450 333.7194  26.0772 14.26356475 14129,2026-09-05 00:37:59 UTC
31666,FENGYUN 1C DEB,Debris,1 31666U 99025CBY 26248.45564786  .00017769  00000+0  13514-2 0  9999,2 31666  98.6647  69.1365 0014695   5.2351 354.9021 15.02119129 12193,2026-09-05 10:56:07 UTC
31092,FENGYUN 1C DEB,Debris,1 31092U 99025BGN 26248.26010486  .00000983  00000+0  12172-2 0  9993,2 31092  99.7388   1.8762 0328779 198.0739 160.8477 13.47018933954693,2026-09-05 06:14:33 UTC
29965,FENGYUN 1C DEB,Debris,1 29965U 99025KP  26248.54332885 -.00000071  00000+0 -19442-4 0  9999,2 29965  98.9793 241.3095 0145914  55.0741  67.1221 13.95904032999987,2026-09-05 13:02:23 UTC
